,有價證券代號及名稱 
855,6754
856,6756
857,6768
858,6776
859,6781
860,8011
861,8016
862,8021
863,8028
864,8033
865,8039
866,8046
867,8070
868,8072
869,8081
870,8101
871,8103
872,8104
873,8105
874,8110
875,8112
876,8114
877,8131
878,8150
879,8163
880,8201
881,8210
882,8213
883,8215
884,8222
885,8249
886,8261
887,8271
888,8341
889,8367
890,8374
891,8404
892,8411
893,8422
894,8427
895,8429
896,8442
897,8443
898,8454
899,8462
900,8463
901,8464
902,8466
903,8467
904,8473
905,8478
906,8480
907,8481
908,8482
909,8488
910,8499
911,8926
912,8940
913,8996
914,9802
915,9902
916,9904
917,9905
918,9906
919,9907
920,9908
921,9910
922,9911
923,9912
924,9914
925,9917
926,9918
927,9919
928,9921
929,9924
930,9925
931,9926
932,9927
933,9928
934,9929
935,9930
936,9931
937,9933
938,9934
939,9935
940,9937
941,9938
942,9939
943,9940
944,9941
945,9942
946,9943
947,9944
948,9945
949,9946
950,9955
951,9958
